,sample,id,x,y,area,area_convex,KM_label_nc20,star_KM_label_nc20
Tonsil_3_s0_a1_1416.0,Tonsil_3_s0_a1,1416.0,84.70492,856.0492,61.0,63.0,8,doublets
Tonsil_2_s0_a1_13036.0,Tonsil_2_s0_a1,13036.0,810.0,812.0,21.0,21.0,6,2
Tonsil_3_s0_a4_11307.0,Tonsil_3_s0_a4,11307.0,704.6316,848.8684,38.0,39.0,5,9
Tonsil_2_s0_a5_5074.0,Tonsil_2_s0_a5,5074.0,324.13043,982.4783,46.0,48.0,17,1
Tonsil_2_s0_a5_711.0,Tonsil_2_s0_a5,711.0,45.47959,955.37756,98.0,103.0,0,0
Tonsil_2_s0_a3_5190.0,Tonsil_2_s0_a3,5190.0,281.31033,115.10345,29.0,30.0,11,5
Tonsil_2_s0_a7_13324.0,Tonsil_2_s0_a7,13324.0,792.86487,385.4189,74.0,78.0,3,doublets
Tonsil_2_s0_a8_11963.0,Tonsil_2_s0_a8,11963.0,749.5,713.5,14.0,14.0,19,1
Tonsil_2_s0_a4_6600.0,Tonsil_2_s0_a4,6600.0,411.61728,256.25925,81.0,89.0,9,0
Tonsil_3_s0_a2_5728.0,Tonsil_3_s0_a2,5728.0,291.8095,381.42856,21.0,22.0,6,8
Tonsil_2_s0_a5_1582.0,Tonsil_2_s0_a5,1582.0,100.80645,906.3226,31.0,33.0,11,0
Tonsil_3_s0_a1_11141.0,Tonsil_3_s0_a1,11141.0,736.2766,590.5319,47.0,48.0,12,1
Tonsil_2_s0_a1_10534.0,Tonsil_2_s0_a1,10534.0,653.5,524.8182,44.0,45.0,17,2
Tonsil_2_s0_a1_9884.0,Tonsil_2_s0_a1,9884.0,615.79364,26.84127,63.0,66.0,8,14
Tonsil_2_s0_a6_14409.0,Tonsil_2_s0_a6,14409.0,840.3461,403.35577,104.0,111.0,0,7
Tonsil_3_s0_a3_1581.0,Tonsil_3_s0_a3,1581.0,89.32,473.12,25.0,28.0,15,11
Tonsil_2_s0_a5_10669.0,Tonsil_2_s0_a5,10669.0,685.18335,623.5833,60.0,69.0,8,6
Tonsil_3_s0_a4_11673.0,Tonsil_3_s0_a4,11673.0,728.9375,335.6875,16.0,17.0,19,19
Tonsil_3_s0_a3_947.0,Tonsil_3_s0_a3,947.0,53.612244,72.32653,49.0,53.0,12,5
Tonsil_2_s0_a3_2275.0,Tonsil_2_s0_a3,2275.0,128.53125,35.0625,64.0,67.0,8,14
Tonsil_2_s0_a2_14284.0,Tonsil_2_s0_a2,14284.0,976.35297,936.451,51.0,55.0,1,14
